"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2361.01715227826,36.8337246902548,-64.0993321238273,0
"carat",8408.35312587997,49.1348763337013,171.128000175971,0
"colorE",-20.0324481005967,47.542065600966,-0.421362594312471,0.673492008527319
"colorF",-304.789038571609,48.3618793309858,-6.30225795167412,2.95600243357602e-10
"colorG",-214.510490580056,45.9948719381432,-4.66379145198064,3.11179124999526e-06
"colorH",-99.4008940793985,48.8941507977985,-2.03298129648412,0.0420593005289878
"colorI",-517.133203297096,54.5249016343213,-9.48434912850132,2.53422865067765e-21
"colorJ",-559.586184915338,70.5385727022631,-7.93305227874826,2.17909760513199e-15
"carat:colorE",-112.140342426415,63.2710614639868,-1.77237966033246,0.0763372005941175
"carat:colorF",268.305217909389,61.7754438355161,4.34323415989987,1.40656237007906e-05
"carat:colorG",116.992653439227,58.0969578203811,2.01374835840689,0.0440409174847493
"carat:colorH",-789.254805987576,57.8927922244021,-13.6330409306964,2.99387180416726e-42
"carat:colorI",-647.311957073889,59.8083124358559,-10.8231102117808,2.85395438431694e-27
"carat:colorJ",-1314.16103362018,67.3519221494213,-19.5118564055929,1.70534967155474e-84
